0.1  20.2266 0 0  0 -0  -0
0.178  20.2266 0.372781 0  0 -0.0333817  -0.0055729
0.316  20.2266 0 0  0 -0  -0
0.562  20.2266 0.20458 0  0 -0.0202952  -0.00338819
1  20.2266 0.522017 0.311395  0.0323813 0.645228  0.107718
1.78  20.2266 0.44755 0.308524  0.0309041 0.640684  0.106959
3.16  20.2266 1.07522 0.316494  0.294024 1.16678  0.194788
5.62  20.2266 0.675838 0.405402  0.940852 2.64355  0.441327
10  20.2266 0.919108 0.746324  1.14795 3.73435  0.62343
17.8  20.2266 0.474531 0.567511  0.814856 2.72498  0.454922
31.6  20.2266 0.380651 0.0675851  0.868275 1.8378  0.306812
56.2  20.2266 0.112033 0.0619594  0.511462 1.13513  0.189504
100  20.2266 0.094077 0  0.118052 0.226167  0.0377575
178  20.2266 0 0  0.0397599 0.0795198  0.0132754
316  20.2266 0 0  0 -0  -0
562  20.2266 0 0  0 -0  -0
1000  20.2266 0 0  0.0557948 0.11159  0.0186293

